plate,mjd,fiberID
587,52026,548
5151,56567,120
2609,54476,555
1706,53442,525
4805,55715,844
4210,55444,543
4878,55710,976
5421,55980,706
6822,56711,836
394,51913,492
394,51913,496
1722,53852,494
2365,53739,89
407,51820,609
3754,55488,652
4392,55833,686
2583,54095,549
581,52356,2
5399,55956,242
475,51965,553
2788,54553,32
1927,53321,387
2636,54082,164
2656,54484,151
2656,54484,173
2656,54484,195
2660,54504,446
6138,56598,997
1591,52976,309
450,51908,37
2477,54058,108
7088,56657,639
2239,53726,529
2501,54084,442
4801,55653,770
3692,55186,374
7108,56686,354
1666,52991,516
1666,52991,549
1666,52991,550
1666,52991,551
1666,52991,556
4081,55365,301
4081,55365,316
4567,55589,270
4573,55587,266
501,52235,640
287,52023,413
2868,54451,493
1362,53050,553
1362,53050,556
1362,53050,575
2527,54569,475
1052,52466,280
1052,52466,318
541,51959,287
2285,53700,111
564,52224,507
2285,53700,633
528,52022,220
4084,55447,826
349,51699,187
1598,53033,553
5779,56338,678
4226,55475,996
4452,55536,184
4453,55535,338
2657,54502,352
5879,56047,746
2144,53770,185
2743,54259,216
6795,56425,698
2607,54184,233
454,51908,11
3681,55243,266
4731,55656,964
2794,54537,493
3943,55336,696
618,52049,149
900,52637,296
3736,55214,228
4960,55747,842
917,52400,314
6968,56443,85
6428,56279,66
450,51908,396
450,51908,431
450,51908,492
450,51908,506
450,51908,509
450,51908,585
1926,53317,615
1926,53317,638
1927,53321,110
491,51942,283
4768,55944,846
491,51942,473
491,51942,476
491,51942,494
491,51942,499
1809,53792,281
767,52252,207
5884,56046,166
1666,52991,596
434,51885,119
434,51885,122
434,51885,127
7108,56686,184
520,52288,558
6272,56325,632
346,51693,475
2603,54479,439
1386,53116,36
381,51811,405
355,51788,440
2608,54474,537
2608,54474,596
6605,56565,320
394,51913,155
897,52605,172
1809,53792,380
655,52162,341
655,52162,468
655,52162,498
6974,56442,460
351,51695,485
968,52412,371
1592,52990,449
4019,55363,340
2607,54184,368
450,51908,519
450,51908,564
608,52081,38
6593,56270,280
2636,54082,235
655,52162,97
667,52163,561
1920,53314,237
1927,53321,194
1927,53321,233
2493,54115,100
4293,55509,226
4067,55361,656
6138,56598,60
5339,55922,136
5339,55922,171
2881,54502,554
2516,54241,117
548,51986,446
4092,55477,222
2920,54562,156
656,52148,516
6138,56598,856
587,52026,110
2609,54476,92
2609,54476,138
3679,55209,560
3679,55209,564
4604,55983,726
5709,56571,430
1324,53088,456
900,52637,84
7155,56629,769
414,51869,224
679,52177,137
5396,55947,994
349,51699,230
2434,53826,146
434,51885,470
5151,56567,418
460,51924,196
460,51924,225
5411,55953,41
1303,53050,443
2971,54590,593
2772,54529,522
1625,53140,66
726,52226,348
565,52225,173
5332,55981,183
1314,53050,546
592,52025,178
1666,52991,353
1666,52991,367
1666,52991,384
2218,53816,580
1974,53430,566
1357,53034,574
6006,56105,364
2508,53875,132
1665,52976,546
1665,52976,547
1665,52976,549
1665,52976,551
1665,52976,554
1665,52976,556
1665,52976,559
1665,52976,574
2878,54465,503
5767,56245,724
3587,55182,133
2266,53679,406
2266,53679,422
390,51900,114
566,52238,61
4453,55535,235
5797,56273,826
835,52326,253
5141,55746,668
2933,54617,411
355,51788,494
358,51818,372
858,52316,315
4604,55983,688
4215,55471,122
2636,54082,72
390,51900,306
6138,56598,820
2587,54138,33
5160,55895,230
1774,53759,194
4208,55476,586
4041,55361,600
879,52365,81
5175,55955,662
4964,55749,742
414,51869,470
2172,54230,216
2172,54230,278
2172,54230,317
2173,53874,494
1601,53115,397
704,52205,428
456,51910,597
4719,55736,890
473,51929,593
5972,56334,92
1923,53319,106
291,51928,323
2516,54241,382
600,52317,87
1427,52996,399
3936,55302,655
553,51999,569
1786,54450,516
4218,55479,904
390,51900,243
390,51900,625
394,51913,18
2364,53737,147
2365,53739,481
2028,53818,545
2028,53818,564
4964,55749,36
4964,55749,48
4964,55749,56
1820,54208,375
1820,54208,376
1735,53035,358
6428,56279,22
6975,56720,560
429,51820,75
429,51820,101
2170,53875,335
2747,54233,205
4022,55352,414
1275,52996,545
1275,52996,553
721,52228,503
468,51912,523
6115,56237,791
1817,53851,162
2435,53828,478
696,52209,283
2205,53793,244
4732,55648,196
1920,53314,494
757,52238,389
2222,53799,548
2521,54538,491
1362,53050,639
5211,56002,191
4775,55708,808
2240,53823,531
2240,53823,541
2240,53823,550
2240,53823,554
2240,53823,567
2240,53823,605
2240,53823,620
7112,56666,434
1994,53845,466
2520,54584,501
2520,54584,539
2520,54584,550
6006,56105,462
520,52288,425
2238,54205,478
5766,56248,822
1689,53177,578
2878,54465,354
2878,54465,380
5362,56017,418
1378,53061,341
6497,56329,192
2603,54479,570
5656,55940,624
559,52316,271
1722,53852,113
1722,53852,116
2565,54329,184
3955,55678,218
6410,56336,62
2656,54484,371
2656,54484,377
2656,54484,429
666,52149,598
6440,56370,194
1876,54464,152
744,52251,58
744,52251,90
744,52251,98
746,52238,360
746,52238,384
746,52238,390
1314,53050,408
4053,55591,998
1792,54270,513
2656,54484,552
2656,54484,556
1842,53501,583
2199,53556,32
480,51989,410
488,51914,488
4776,55652,120
267,51608,508
1052,52466,511
7108,56686,260
555,52266,458
536,52024,40
516,52017,36
516,52017,69
3941,55321,292
2273,53709,369
895,52581,239
2028,53818,362
1512,53742,202
1994,53845,68
2878,54465,86
1693,53446,635
1749,53357,423
1749,53357,486
429,51820,418
5421,55980,254
4889,55709,760
568,52254,263
569,52264,551
915,52443,221
3151,54804,541
1431,52992,399
349,51699,58
5399,55956,420
1592,52990,183
5403,55979,970
2636,54082,47
2636,54082,64
3754,55488,854
2134,53876,361
2134,53876,363
6425,56298,376
967,52636,578
446,51899,213
5970,56046,866
7097,56667,730
3290,54941,314
7404,56776,602
1666,52991,223
1666,52991,229
1666,52991,235
1666,52991,252
1666,52991,284
1666,52991,291
1666,52991,320
6486,56328,464
1704,53178,167
287,52023,520
287,52023,574
1665,52976,81
1665,52976,92
1665,52976,112
1665,52976,140
1665,52976,142
1665,52976,147
1665,52976,150
1665,52976,151
1665,52976,159
1665,52976,160
1665,52976,161
1665,52976,163
1665,52976,166
1665,52976,168
1665,52976,173
1665,52976,174
1665,52976,177
1665,52976,191
1665,52976,192
2224,53815,330
2226,53819,384
830,52293,301
5369,56272,22
5369,56272,60
2240,53823,399
2240,53823,447
390,51900,522
2028,53818,11
2028,53818,60
676,52178,420
676,52178,473
4479,55592,56
587,52026,231
587,52026,252
587,52026,276
4861,55710,594
4801,55653,952
3681,55243,510
552,51992,452
2285,53700,147
2285,53700,195
2652,54508,165
6129,56301,206
5401,55949,304
4637,55616,924
4204,55470,864
4204,55470,868
718,52206,210
3808,55513,156
4038,55363,454
2970,54589,268
1924,53330,623
1314,53050,55
394,51913,321
394,51913,327
394,51913,328
900,52637,523
900,52637,533
3745,55234,882
930,52618,485
6422,56328,252
6138,56598,528
6138,56598,540
6138,56598,544
2425,54139,587
5467,55973,208
2173,53874,81
2173,53874,101
446,51899,535
446,51899,538
1314,53050,377
1314,53050,383
2808,54524,472
2808,54524,483
2808,54524,500
490,51929,368
490,51929,399
492,51955,221
494,51915,81
4775,55708,876
767,52252,509
528,52022,377
4780,55682,880
513,51989,603
287,52023,16
520,52288,369
4388,55536,708
5358,56016,646
4072,55362,414
2020,53431,212
2028,53818,163
531,52028,495
5141,55746,874
5141,55746,996
539,52017,635
434,51885,189
2172,54230,337
4704,55681,882
3615,55179,446
5162,55893,60
555,52266,338
890,52583,580
890,52583,590
1791,54266,470
1791,54266,485
6825,56717,278
630,52050,359
4840,55690,185
6410,56336,178
1820,54208,127
6138,56598,902
2592,54178,189
4195,55452,571
4195,55452,580
4011,55635,272
968,52412,386
592,52025,387
592,52025,403
459,51924,604
2199,53556,122
1458,53119,13
606,52365,432
606,52365,466
4051,55337,678
7098,56661,590
2636,54082,584
2636,54082,591
2636,54082,596
2636,54082,636
2116,53854,60
663,52145,636
951,52398,511
1267,52932,475
6679,56401,564
6679,56401,586
2199,53556,93
2199,53556,106
2202,53566,332
5313,55973,928
2812,54639,356
2208,53880,533
2208,53880,599
4775,55708,147
4775,55708,150
650,52143,54
1850,53786,206
2228,53818,179
306,51637,286
1665,52976,587
1665,52976,608
528,52022,428
5361,55973,458
6033,56069,616
295,51985,298
2881,54502,73
4983,55836,160
4471,55617,7
6975,56720,208
348,51671,516
429,51820,218
1704,53178,418
1704,53178,456
3953,55322,4
2655,54184,440
581,52356,240
581,52356,262
1431,52992,205
428,51883,449
428,51883,482
4485,55836,158
2173,53874,401
358,51818,495
606,52365,98
1805,53875,37
1200,52668,480
2419,54139,219
4481,55630,430
432,51884,392
5945,56213,548
721,52228,42
721,52228,119
7059,56592,994
7088,56657,390
1925,53327,576
1665,52976,395
1665,52976,397
1665,52976,422
4063,55364,50
1665,52976,332
1665,52976,347
1665,52976,349
1879,54478,411
274,51913,611
2515,54180,377
1704,53178,130
552,51992,67
769,54530,41
5411,55953,762
